sentence,label,intent,intent_few_shot_random,intent_few_shot_specific_filled
You guys provide EMI option?,EMI,EMI,EMI,EMI
Do you offer Zero Percent EMI payment options?,EMI,EMI,EMI,EMI
0% EMI.,EMI,EMI,EMI,EMI
EMI,EMI,EMI,EMI,EMI
I want in installment,EMI,EMI,EMI,EMI
I want it on 0% interest,EMI,EMI,EMI,EMI
How to get in EMI,EMI,EMI,EMI,EMI
what about emi options,EMI,EMI,EMI,EMI
I need emi payment. ,EMI,EMI,EMI,EMI
How to EMI,EMI,EMI,EMI,EMI
I want to buy on EMI,EMI,EMI,EMI,EMI
I want to buy this in installments,EMI,EMI,EMI,EMI
0% Emi,EMI,EMI,EMI,EMI
Down payments,EMI,EMI,EMI,EMI
Installments,EMI,EMI,EMI,EMI
How about Paisa finance,EMI,EMI,EMI,EMI
Paisa finance service available,EMI,EMI,EMI,EMI
What is minimum down payment,EMI,EMI,EMI,EMI
Paisa Finance is available,EMI,EMI,EMI,EMI
Do you accept Paisa EMI card,EMI,EMI,EMI,EMI
Can we buy through Paisa finance,EMI,EMI,EMI,EMI
EMI Option,EMI,EMI,EMI,EMI
Paisa Finance,EMI,EMI,EMI,EMI
No cost EMI is available?,EMI,EMI,EMI,EMI
Is EMI available,EMI,EMI,EMI,EMI
COD option is availble?,COD,COD,COD,COD
Do you offer COD to my pincode?,COD,CHECK_PINCODE,COD,CHECK_PINCODE
Can I do COD?,COD,COD,COD,COD
COD,COD,COD,COD,COD
Is it possible to COD,COD,COD,COD,COD
Cash on delivery is acceptable?,COD,COD,COD,COD
Can pay later on delivery ,COD,COD,COD,COD
DO you have COD option,COD,COD,COD,COD
Can it deliver by COD,COD,COD,COD,COD
Is COD option available,COD,COD,COD,COD
Can I get COD option?,COD,COD,COD,COD
Cash on delivery is available,COD,COD,COD,COD
Features of Ortho mattress,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES
What are the key features of the SOF Ortho mattress,ORTHO_FEATURES,ABOUT_SOF_MATTRESS,ORTHO_FEATURES,ORTHO_FEATURES
SOF ortho,ORTHO_FEATURES,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ORTHO_FEATURES
Ortho mattress,ORTHO_FEATURES,ABOUT_SOF_MATTRESS,ORTHO_FEATURES,ORTHO_FEATURES
Ortho features,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES
ortho,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES
Tell me about SOF Ortho mattress,ORTHO_FEATURES,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ORTHO_FEATURES
Have a back problem,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES,COMPARISON
I have back pain issue,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES,COMPARISON
Back Pain,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES,COMPARISON
Is it orthopaedic,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES
Neck pain and back pain,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES,COMPARISON
